Column1,Dias_acumulados,Ingresos,Costos
160,588,3853.6617,1118.869658
161,591,3053.0317,1140.569784
162,592,3449.763512,1049.128471
163,593,1917.991116,615.2094883
164,594,2639.08711,787.1018204
165,595,4517.794964,1312.357601
166,598,2582.183734,868.8077206
167,599,3968.556294,1131.75507
168,600,2493.487028,789.4957285
169,601,2923.5031,853.338022
170,602,3554.876968,1050.649029
171,605,2713.071694,770.9161216
172,606,3735.524466,1123.881522
173,607,2693.510244,748.4103946
174,608,3671.349576,1123.376207
175,609,3471.2414,1130.394308
176,612,2789.279516,863.3388151
177,613,2595.435488,859.0321583
178,614,3578.653496,1130.665986
179,616,3444.286306,1068.554094
180,619,3392.253026,1082.917346
181,620,2051.141962,651.3138889
182,621,3394.943898,1048.491301
183,622,3390.992078,1055.598152
184,623,4022.250542,1221.820432
185,626,3536.803498,1087.389485
186,627,4700.243496,1416.048249
187,628,5119.749072,1582.04602
188,629,7505.975634,3121.014526
189,630,4247.965544,1294.513706
190,633,5617.190698,1589.367823
191,634,5532.893858,1393.449126
192,635,4955.906072,1429.294413
193,636,4331.64666,1393.116894
194,637,2988.550836,952.4837078
195,640,3740.544068,1244.449594
196,641,4962.686588,1275.211271
197,642,4091.163014,1378.555299
198,643,2907.976542,970.6101376
199,644,3428.468406,963.9439374
200,647,2529.683882,875.9153119
201,648,3474.619858,966.4059712
202,649,2826.766936,820.5250672
203,651,1810.516126,572.0105173
204,654,3217.088398,947.1113735
205,655,3064.687622,898.9742492
206,656,2128.922134,677.2947227
207,657,2192.416636,668.0197948
208,658,2537.873436,741.1391588
209,661,3536.0352,4058.758001
210,662,7982.136904,2379.785701
211,663,4559.060744,1296.5826
212,664,3944.096428,1480.246253
213,665,4181.110402,1269.97825
214,668,4958.716478,1510.936844
215,669,4440.734592,1605.765881
216,670,5950.512614,1734.332778
217,672,6530.696194,2363.330068
218,675,4385.959464,1381.306812
219,676,6155.602278,1916.94047
220,677,4010.37219,1250.925541
221,678,5322.819284,1624.402729
222,679,4691.786672,1515.910666
223,682,3972.936926,1189.425956
224,683,5017.561426,1531.683175
225,685,4468.840894,1393.981713
226,686,4719.14037,1572.607661
227,690,3523.641542,1013.056513
228,691,3906.198014,1158.238045
229,692,4236.41122,1242.188065
230,693,3012.117796,995.7134444
231,696,4735.198164,1465.589194
232,697,4935.409236,1542.244721
233,698,4574.48889,1485.125856
234,699,4411.108922,1197.525947
235,700,4925.706568,2141.460457
236,703,4196.210862,1384.106408
237,704,4868.398806,1500.667532
238,705,4315.757606,1429.383337
239,706,5886.746948,1908.129415
240,707,5396.789826,1717.154297
241,710,5522.883328,1818.327608
242,711,5417.63783,1772.206871
243,712,5483.698478,1613.631891
244,713,6883.750306,1976.798221
245,714,8254.622504,2623.964326
246,717,11012.72064,2899.218907
247,718,10113.00686,3146.364531
248,719,8111.14123,2736.73562
249,720,7562.50495,2259.143511
250,721,7824.422942,2174.556044
251,725,5679.998676,1746.340634
252,726,7279.65777,2400.665633
253,727,6803.220734,1984.551178
254,728,5260.898194,1639.919798
255,732,4607.82035,1462.258583
256,733,3458.46082,1184.080874
257,734,4572.044284,1539.626314
258,735,6370.064446,1912.682797
259,738,5039.86024,1643.677155
260,739,4010.517094,1322.605029
261,740,5832.4804,1617.512031
262,741,4766.395712,1475.712583
263,742,3825.774642,1182.21882
264,745,5082.836784,1519.868665
265,746,4645.510848,1371.864917
266,747,2214.284396,753.6475116
267,748,3482.360658,1156.040808
268,749,3652.814962,1080.526426
269,752,3628.52124,1072.805453
270,753,2234.880942,706.8419425
271,754,5132.203972,1625.477256
272,756,3491.265056,1051.02772
273,759,2841.365778,914.9216712
274,760,3412.16175,1132.486428
275,761,4530.836442,1985.054087
276,762,5661.056372,1775.72353
277,763,4661.204612,1518.825034
278,766,6400.429268,2145.451883
279,767,6564.080636,2304.94829
280,768,7286.098564,2407.655725
281,769,7204.62806,2267.371631
282,770,6552.906862,2234.112002
283,774,63.842012,15.59260295
284,775,8296.962438,2594.969026
285,776,5427.894744,1829.784923
286,777,6263.938196,2201.020125
287,780,5888.816196,1916.939127
288,781,5678.617014,1931.740871
289,782,5036.600254,1691.19993
290,783,4900.439936,1720.253274
291,784,5401.254238,1838.596099
292,787,4590.505148,1429.943252
293,790,6619.56813,2172.715425
294,791,5255.81263,1777.459604
295,794,5356.711716,1814.262649
296,795,6130.999868,2101.009476
297,796,7422.164718,2576.57356
298,797,6465.128314,2103.285664
299,798,6916.058234,2077.711919
300,801,7058.327884,2522.173274
301,802,9613.262822,3022.413637
302,803,5923.355622,2070.616611
303,804,5711.869886,1985.86837
304,805,6116.416602,2127.301569
305,808,7625.22136,2510.947255
306,809,5201.109482,1810.042689
307,810,9263.811368,2899.064352
308,811,10051.56828,3064.937581
309,812,5647.037382,1875.320115
310,815,5376.52722,1742.110642
311,816,5532.139484,1754.813153
312,817,6847.38837,2135.837535
313,818,5868.589698,1885.472283
314,822,4643.924928,1519.086282
315,823,4714.984174,1624.595293
316,824,5823.255514,2356.800007
317,825,7202.423348,2214.556807
318,826,6228.203194,1948.201542
319,829,5751.199168,1931.643593
320,830,5631.840988,1674.515128
321,831,6133.178266,1967.365042
322,832,9180.672934,2738.866628
323,833,4598.655172,1730.687677
324,836,5955.25173,1834.339604
325,837,5750.302014,1758.704778
326,838,6800.163,2075.468608
327,839,5375.740514,1857.517438
328,840,5058.32901,1592.843749
329,843,6275.939032,1838.868914
330,844,5507.708882,1799.798566
331,845,4924.256938,1484.221619
332,846,6281.69342,2151.46365
333,847,4262.579726,1312.747131
334,850,5571.5352,1660.149804
335,852,5807.633376,1663.343497
336,853,4940.285586,1607.957244
337,854,5156.831398,2003.566957
338,857,5054.435954,1507.872384
339,858,5267.11762,1810.510791
340,859,5889.223768,1935.078138
341,860,7114.180234,2307.337061
342,861,5002.062834,1690.370822
343,864,5529.158214,1823.982786
344,865,5985.665286,1969.281129
345,866,6452.409448,2058.941937
346,867,6999.653918,2194.474942
347,868,7499.0947,2433.740138
348,871,5926.804408,2015.870341
349,872,7031.21939,2204.492093
350,873,9154.521892,2916.866411
351,874,6191.478644,2062.063457
352,875,7691.41995,2519.930968
353,878,8492.098802,2650.750341
354,879,8645.377616,2954.77212
355,880,8294.343782,2728.784206
356,882,8693.753604,2820.015005
357,885,8152.239804,2730.228869
358,886,6051.247444,2054.464412
359,887,7474.960278,2034.618182
360,888,6502.299258,1973.511642
361,889,5013.224218,1705.303644
362,892,6368.22282,1840.78733
363,893,5091.195904,1488.656948
364,894,4345.360974,1302.283517
365,895,3416.7726,984.8629658
366,899,2202.448052,701.2527382
367,900,3480.961768,904.5340259
368,901,3231.31554,1091.331805
369,902,3483.765448,964.4054326
370,903,597.482026,217.7011068
371,906,1983.20535,650.0487353
372,907,3867.860876,1236.364495
373,908,765.370184,191.7605293
374,909,5293.293914,1812.519129
375,910,3905.690968,1243.155403
376,913,66.863756,31.97322206
377,914,6274.086314,1791.591866
378,915,9227.253552,2727.843273
379,916,7376.881864,2632.467191
380,917,41.815424,12.07569001
381,921,49.44908,14.79437036
382,922,8418.486744,3010.289996
383,923,9055.857254,2861.96117
384,924,7482.991004,2458.51874
385,927,7623.75816,2346.349552
386,928,9440.625518,2819.557104
387,929,7692.630158,2485.371906
388,930,9466.539498,2754.833991
389,931,7062.006534,2463.974631
390,934,6754.551516,2086.222904
391,935,6834.449906,2012.987381
392,936,6142.939344,1917.701559
393,937,5639.120054,1864.466942
